departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Lamotte-Beuvron,Salbris,Lamotte-Beuvron,Salbris,25,"47.5941100,2.02207700","47.4251860,2.04775100"
Tours,Joué-lès-Tours,Tours,Joué-lès-Tours,21,"47.3898750,0.69283600","47.3541490,0.66725000"
Joué-lès-Tours,Ballan-Miré,Joué-lès-Tours,Ballan,14,"47.3541490,0.66725000","47.3367470,0.61830700"
Ballan-Miré,Druye,Ballan,Druye,13,"47.3367470,0.61830700","47.3070190,0.53548100"
Druye,Azay-le-Rideau,Druye,Azay-le-Rideau,14,"47.3070190,0.53548100","47.2661540,0.44760000"
Azay-le-Rideau,Rivarennes,Azay-le-Rideau,Rivarennes,14,"47.2661540,0.44760000","47.2679560,0.36186100"
Rivarennes,Chinon,Rivarennes,Chinon,24,"47.2679560,0.36186100","47.1630730,0.25164500"
Chinon,Rivarennes,Chinon,Rivarennes,24,"47.1630730,0.25164500","47.2679560,0.36186100"
Rivarennes,Azay-le-Rideau,Rivarennes,Azay-le-Rideau,13,"47.2679560,0.36186100","47.2661540,0.44760000"
Azay-le-Rideau,Druye,Azay-le-Rideau,Druye,15,"47.2661540,0.44760000","47.3070190,0.53548100"
Druye,Ballan-Miré,Druye,Ballan,13,"47.3070190,0.53548100","47.3367470,0.61830700"
Ballan-Miré,Joué-lès-Tours,Ballan,Joué-lès-Tours,14,"47.3367470,0.61830700","47.3541490,0.66725000"
Joué-lès-Tours,Tours,Joué-lès-Tours,Tours,21,"47.3541490,0.66725000","47.3898750,0.69283600"
Toury,Artenay,Toury,Artenay,15,"48.1936060,1.93956500","48.0810570,1.88322600"
Artenay,Fleury-les-Aubrais,Artenay,Les Aubrais Gare Routière,30,"48.0810570,1.88322600","47.9266670,1.90746400"
Fleury-les-Aubrais,Orléans,Les Aubrais Gare Routière,Orléans Avenue de Paris,15,"47.9266670,1.90746400","47.9082770,1.90422900"
Orléans,Fleury-les-Aubrais,Orléans Avenue de Paris,Les Aubrais Gare Routière,15,"47.9082770,1.90422900","47.9266670,1.90746400"
Fleury-les-Aubrais,Cercottes,Les Aubrais Gare Routière,Cercottes,15,"47.9266670,1.90746400","47.9861550,1.88498100"
Cercottes,Chevilly,Cercottes,Chevilly,10,"47.9861550,1.88498100","48.0266720,1.87911300"
Chevilly,Artenay,Chevilly,Artenay,10,"48.0266720,1.87911300","48.0810570,1.88322600"
Artenay,Santilly,Artenay,Château-Gaillard,10,"48.0810570,1.88322600","48.1416900,1.91281500"
Santilly,Toury,Château-Gaillard,Toury,10,"48.1416900,1.91281500","48.1936060,1.93956500"
Fleury-les-Aubrais,Toury,Les Aubrais Gare Routière,Toury,40,"47.9266670,1.90746400","48.1936060,1.93956500"
Toury,Angerville,Toury,Angerville,15,"48.1936060,1.93956500","48.3116320,2.00352600"
Paris,Fleury-les-Aubrais,Paris-Austerlitz Routiere,Les Aubrais Gare Routière,120,"48.8415360,2.36794500","47.9266670,1.90746400"
Fleury-les-Aubrais,Paris,Les Aubrais Gare Routière,Paris-Austerlitz Routiere,120,"47.9266670,1.90746400","48.8415360,2.36794500"
Épernay,Dormans,Épernay,Dormans,30,"49.0462890,3.95979800","49.0790800,3.64183500"
Dormans,Paris,Dormans,Paris Est,125,"49.0790800,3.64183500","48.8767420,2.35842400"
Paris,Dormans,Paris Est,Dormans,125,"48.8767420,2.35842400","49.0790800,3.64183500"
Dormans,Épernay,Dormans,Épernay,30,"49.0790800,3.64183500","49.0462890,3.95979800"
Paris,Château-Thierry,Paris Est,Château-Thierry,110,"48.8767420,2.35842400","49.0381400,3.40930200"
Château-Thierry,Dormans,Château-Thierry,Dormans,30,"49.0381400,3.40930200","49.0790800,3.64183500"
Châlons-en-Champagne,Paris,Châlons-en-Champagne,Paris Est,175,"48.9552520,4.34865600","48.8767420,2.35842400"
Épernay,Châlons-en-Champagne,Épernay,Châlons-en-Champagne,45,"49.0462890,3.95979800","48.9552520,4.34865600"
Dormans,Château-Thierry,Dormans,Château-Thierry,30,"49.0790800,3.64183500","49.0381400,3.40930200"
Château-Thierry,Paris,Château-Thierry,Paris Est,110,"49.0381400,3.40930200","48.8767420,2.35842400"
Paris,Nogent-sur-Seine,Paris Est,Nogent-sur-Seine,110,"48.8767420,2.35842400","48.4970820,3.49414600"
Nogent-sur-Seine,Romilly-sur-Seine,Nogent-sur-Seine,Romilly-sur-Seine,30,"48.4970820,3.49414600","48.5144330,3.72888700"
Romilly-sur-Seine,Troyes,Romilly-sur-Seine,Troyes,50,"48.5144330,3.72888700","48.2960690,4.06528100"
Romorantin-Lanthenay,Romorantin-Lanthenay,Faubourg d'Orléans,Romorantin Blanc Argent,6,"47.3668920,1.74013100","47.3555620,1.73970900"
Romorantin-Lanthenay,Gièvres,Romorantin Blanc Argent,Base Aérienne,9,"47.3555620,1.73970900","47.3201180,1.68154700"
Gièvres,Gièvres,Base Aérienne,Gièvres,11,"47.3201180,1.68154700","47.2787800,1.66781400"
Gièvres,Chabris,Gièvres,Chabris,8,"47.2787800,1.66781400","47.2550730,1.64621900"
Chabris,Val-Fouzon,Chabris,Varennes-sur-Fouzon,9,"47.2550730,1.64621900","47.2144600,1.61441000"
Val-Fouzon,Valençay,Varennes-sur-Fouzon,Valençay,12,"47.2144600,1.61441000","47.1630550,1.55865800"
Laval,Vitré,Laval,Vitré,40,"48.0762550,-0.7609290","48.1226710,-1.2117540"
Vitré,Rennes,Vitré,Rennes,45,"48.1226710,-1.2117540","48.1035170,-1.6727440"
Pontivy,Josselin,Pontivy,Josselin,35,"48.0619180,-2.9662350","47.9553110,-2.5477180"
Josselin,Ploërmel,Josselin,Ploërmel Pem Rehumpol,16,"47.9553110,-2.5477180","47.9309820,-2.3948130"
Ploërmel,Guer,Ploërmel Pem Rehumpol,Guer Coëtquidan,23,"47.9309820,-2.3948130","47.9305760,-2.1271960"
Guer,Rennes,Guer Coëtquidan,Rennes,52,"47.9305760,-2.1271960","48.1035170,-1.6727440"
Rennes,Guer,Rennes,Guer Coëtquidan,52,"48.1035170,-1.6727440","47.9305760,-2.1271960"
Guer,Ploërmel,Guer Coëtquidan,Ploërmel Pem Rehumpol,20,"47.9305760,-2.1271960","47.9309820,-2.3948130"
Ploërmel,Josselin,Ploërmel Pem Rehumpol,Josselin,15,"47.9309820,-2.3948130","47.9553110,-2.5477180"
Josselin,Pontivy,Josselin,Pontivy,36,"47.9553110,-2.5477180","48.0619180,-2.9662350"
Auch,Auch,Auch Baylac,Auch,10,"43.6482880,0.58280600","43.6474880,0.59666100"
Auch,Saint-Sauvy,Auch,Saint-Sauvy,20,"43.6474880,0.59666100","43.6898790,0.82680800"
Saint-Sauvy,Mauvezin,Saint-Sauvy,Mauvezin,6,"43.6898790,0.82680800","43.7306060,0.87838600"
Mauvezin,Solomiac,Mauvezin,Solomiac,7,"43.7306060,0.87838600","43.8055990,0.89701900"
Solomiac,Gimat,Solomiac,Gimat,6,"43.8055990,0.89701900","43.8511560,0.94169100"
Gimat,Beaumont-de-Lomagne,Gimat,Beaumont-de-Lomagne L.e.p,5,"43.8511560,0.94169100","43.8769090,0.97829800"
Beaumont-de-Lomagne,Beaumont-de-Lomagne,Beaumont-de-Lomagne L.e.p,Beaumont-de-Lomagne Place Jean Moulin,5,"43.8769090,0.97829800","43.8823460,0.98401700"
Beaumont-de-Lomagne,Larrazet,Beaumont-de-Lomagne Place Jean Moulin,Larrazet Avenue de Gascogne,6,"43.8823460,0.98401700","43.9310970,1.08439300"
Larrazet,Bourret,Larrazet Avenue de Gascogne,Bourret,9,"43.9310970,1.08439300","43.9471490,1.15077500"
Bourret,Montech,Bourret,Montech Boulevard Lagal,7,"43.9471490,1.15077500","43.9568970,1.22736000"
Montech,Montech,Montech Boulevard Lagal,Montech Pont Canal,6,"43.9568970,1.22736000","43.9591700,1.23569400"
Montech,Montech,Montech Pont Canal,Montech Lacoste,4,"43.9591700,1.23569400","43.9595530,1.25136900"
Montech,Lacourt-Saint-Pierre,Montech Lacoste,Lacourt-Saint-Pierre Talicous,2,"43.9595530,1.25136900","43.9765290,1.28419900"
Lacourt-Saint-Pierre,Montauban,Lacourt-Saint-Pierre Talicous,Montauban Ville Bourbon,13,"43.9765290,1.28419900","44.0144400,1.34199900"
Montauban,Montauban,Montauban Ville Bourbon,Montauban Prax Paris,9,"44.0144400,1.34199900","44.0175050,1.35818500"
Montauban,Montauban,Montauban Prax Paris,Montauban la Fobio,9,"44.0175050,1.35818500","44.0123670,1.37155800"
Montauban,Montauban,Montauban la Fobio,Montauban Prax Paris,9,"44.0123670,1.37155800","44.0175050,1.35818500"
Montauban,Montauban,Montauban Prax Paris,Montauban Ville Bourbon,9,"44.0175050,1.35818500","44.0144400,1.34199900"
Montauban,Lacourt-Saint-Pierre,Montauban Ville Bourbon,Lacourt-Saint-Pierre Talicous,13,"44.0144400,1.34199900","43.9765290,1.28419900"
Lacourt-Saint-Pierre,Montech,Lacourt-Saint-Pierre Talicous,Montech Lacoste,2,"43.9765290,1.28419900","43.9595530,1.25136900"
Montech,Montech,Montech Lacoste,Montech Pont Canal,4,"43.9595530,1.25136900","43.9591700,1.23569400"
Montech,Montech,Montech Pont Canal,Montech Boulevard Lagal,6,"43.9591700,1.23569400","43.9568970,1.22736000"
Montech,Bourret,Montech Boulevard Lagal,Bourret,6,"43.9568970,1.22736000","43.9471490,1.15077500"
Bourret,Larrazet,Bourret,Larrazet Avenue de Gascogne,9,"43.9471490,1.15077500","43.9310970,1.08439300"
Larrazet,Beaumont-de-Lomagne,Larrazet Avenue de Gascogne,Beaumont-de-Lomagne Place Jean Moulin,6,"43.9310970,1.08439300","43.8823460,0.98401700"
Beaumont-de-Lomagne,Beaumont-de-Lomagne,Beaumont-de-Lomagne Place Jean Moulin,Beaumont-de-Lomagne L.e.p,5,"43.8823460,0.98401700","43.8769090,0.97829800"
Beaumont-de-Lomagne,Gimat,Beaumont-de-Lomagne L.e.p,Gimat,6,"43.8769090,0.97829800","43.8511560,0.94169100"
Gimat,Solomiac,Gimat,Solomiac,6,"43.8511560,0.94169100","43.8055990,0.89701900"
Solomiac,Mauvezin,Solomiac,Mauvezin,7,"43.8055990,0.89701900","43.7306060,0.87838600"
Mauvezin,Saint-Sauvy,Mauvezin,Saint-Sauvy,6,"43.7306060,0.87838600","43.6898790,0.82680800"
Saint-Sauvy,Auch,Saint-Sauvy,Auch,20,"43.6898790,0.82680800","43.6474880,0.59666100"
Auch,Auch,Auch,Auch Baylac,10,"43.6474880,0.59666100","43.6482880,0.58280600"
Bourret,Larrazet,Bourret,Larrazet,9,"43.9471490,1.15077500","43.9319440,1.08277800"
Larrazet,Beaumont-de-Lomagne,Larrazet,Beaumont-de-Lomagne Place Jean Moulin,6,"43.9319440,1.08277800","43.8823460,0.98401700"
Nevers,Fourchambault,Nevers,Fourchambault,5,"46.9872820,3.15074300","47.0189600,3.08716600"
Fourchambault,Pougues-les-Eaux,Fourchambault,Pougues-les-Eaux,4,"47.0189600,3.08716600","47.0767840,3.09403000"
Pougues-les-Eaux,La Charité-sur-Loire,Pougues-les-Eaux,La Charité-sur-Loire,8,"47.0767840,3.09403000","47.1799140,3.02388300"
La Charité-sur-Loire,Cosne-Cours-sur-Loire,La Charité-sur-Loire,Cosne-sur-Loire,15,"47.1799140,3.02388300","47.4139660,2.93192000"
Cosne-Cours-sur-Loire,Briare,Cosne-sur-Loire,Briare,15,"47.4139660,2.93192000","47.6463630,2.73365200"
Briare,Gien,Briare,Gien,6,"47.6463630,2.73365200","47.6990880,2.63620500"
Gien,Nogent-sur-Vernisson,Gien,Nogent-sur-Vernisson,10,"47.6990880,2.63620500","47.8527820,2.73781600"
Nogent-sur-Vernisson,Montargis,Nogent-sur-Vernisson,Montargis,9,"47.8527820,2.73781600","48.0068620,2.74278300"
Montargis,Saint-Pierre-lès-Nemours,Montargis,Nemours - Saint-Pierre,17,"48.0068620,2.74278300","48.2678660,2.68573300"
Saint-Pierre-lès-Nemours,Paris,Nemours - Saint-Pierre,Paris Bercy Bourg. Pays d'Auv.,48,"48.2678660,2.68573300","48.8392150,2.38279100"
Paris,Saint-Pierre-lès-Nemours,Paris Bercy Bourg. Pays d'Auv.,Nemours - Saint-Pierre,43,"48.8392150,2.38279100","48.2678660,2.68573300"
Saint-Pierre-lès-Nemours,Montargis,Nemours - Saint-Pierre,Montargis,16,"48.2678660,2.68573300","48.0068620,2.74278300"
Montargis,Nogent-sur-Vernisson,Montargis,Nogent-sur-Vernisson,10,"48.0068620,2.74278300","47.8527820,2.73781600"
Nogent-sur-Vernisson,Gien,Nogent-sur-Vernisson,Gien,10,"47.8527820,2.73781600","47.6990880,2.63620500"
Gien,Briare,Gien,Briare,6,"47.6990880,2.63620500","47.6463630,2.73365200"
Briare,Cosne-Cours-sur-Loire,Briare,Cosne-sur-Loire,15,"47.6463630,2.73365200","47.4139660,2.93192000"
Cosne-Cours-sur-Loire,Tracy-sur-Loire,Cosne-sur-Loire,Tracy Sancerre,6,"47.4139660,2.93192000","47.3380910,2.88029800"
Tracy-sur-Loire,La Charité-sur-Loire,Tracy Sancerre,La Charité-sur-Loire,11,"47.3380910,2.88029800","47.1799140,3.02388300"
La Charité-sur-Loire,Pougues-les-Eaux,La Charité-sur-Loire,Pougues-les-Eaux,7,"47.1799140,3.02388300","47.0767840,3.09403000"
Pougues-les-Eaux,Fourchambault,Pougues-les-Eaux,Fourchambault,5,"47.0767840,3.09403000","47.0189600,3.08716600"
Fourchambault,Nevers,Fourchambault,Nevers,6,"47.0189600,3.08716600","46.9872820,3.15074300"
Paris,Montargis,Paris Bercy Bourg. Pays d'Auv.,Montargis,57,"48.8392150,2.38279100","48.0068620,2.74278300"
Montargis,Paris,Montargis,Paris Bercy Bourg. Pays d'Auv.,75,"48.0068620,2.74278300","48.8392150,2.38279100"
La Charité-sur-Loire,Pouilly-sur-Loire,La Charité-sur-Loire,Pouilly-sur-Loire,7,"47.1799140,3.02388300","47.2822420,2.96627600"
Pouilly-sur-Loire,Cosne-Cours-sur-Loire,Pouilly-sur-Loire,Cosne-sur-Loire,10,"47.2822420,2.96627600","47.4139660,2.93192000"
La Charité-sur-Loire,Tracy-sur-Loire,La Charité-sur-Loire,Tracy Sancerre,11,"47.1799140,3.02388300","47.3380910,2.88029800"
Tracy-sur-Loire,Cosne-Cours-sur-Loire,Tracy Sancerre,Cosne-sur-Loire,6,"47.3380910,2.88029800","47.4139660,2.93192000"
Cosne-Cours-sur-Loire,La Charité-sur-Loire,Cosne-sur-Loire,La Charité-sur-Loire,16,"47.4139660,2.93192000","47.1799140,3.02388300"
Cosne-Cours-sur-Loire,Pouilly-sur-Loire,Cosne-sur-Loire,Pouilly-sur-Loire,10,"47.4139660,2.93192000","47.2822420,2.96627600"
Pouilly-sur-Loire,La Charité-sur-Loire,Pouilly-sur-Loire,La Charité-sur-Loire,7,"47.2822420,2.96627600","47.1799140,3.02388300"
Rennes,Dinard,Rennes,Dinard,121,"48.1035170,-1.6727440","48.6344440,-2.0550000"
Dinard,Rennes,Dinard,Rennes,124,"48.6344440,-2.0550000","48.1035170,-1.6727440"
Rennes,Fougères,Rennes,Fougères,67,"48.1035170,-1.6727440","48.3478650,-1.1913500"
Fougères,Rennes,Fougères,Rennes,64,"48.3478650,-1.1913500","48.1035170,-1.6727440"
Vittel,Contrexéville,Vittel,Contrexéville,5,"48.2021900,5.94191400","48.1796130,5.89063300"
Contrexéville,Culmont,Contrexéville,Culmont - Chalindrey,44,"48.1796130,5.89063300","47.8102020,5.44321900"
Culmont,Langres,Culmont - Chalindrey,Langres,8,"47.8102020,5.44321900","47.8769470,5.34440600"
Langres,Chaumont,Langres,Chaumont,21,"47.8769470,5.34440600","48.1097600,5.13460000"
Chaumont,Bar-sur-Aube,Chaumont,Bar-sur-Aube,20,"48.1097600,5.13460000","48.2385590,4.70687200"
Bar-sur-Aube,Vendeuvre-sur-Barse,Bar-sur-Aube,Vendeuvre,11,"48.2385590,4.70687200","48.2400690,4.46721400"
Vendeuvre-sur-Barse,Troyes,Vendeuvre,Troyes,16,"48.2400690,4.46721400","48.2960690,4.06528100"
Troyes,Romilly-sur-Seine,Troyes,Romilly-sur-Seine,18,"48.2960690,4.06528100","48.5144330,3.72888700"
Romilly-sur-Seine,Nogent-sur-Seine,Romilly-sur-Seine,Nogent-sur-Seine,11,"48.5144330,3.72888700","48.4970820,3.49414600"
Nogent-sur-Seine,Paris,Nogent-sur-Seine,Paris Est,56,"48.4970820,3.49414600","48.8767420,2.35842400"
Troyes,Vendeuvre-sur-Barse,Troyes,Vendeuvre,16,"48.2960690,4.06528100","48.2400690,4.46721400"
Vendeuvre-sur-Barse,Bar-sur-Aube,Vendeuvre,Bar-sur-Aube,12,"48.2400690,4.46721400","48.2385590,4.70687200"
Bar-sur-Aube,Chaumont,Bar-sur-Aube,Chaumont,21,"48.2385590,4.70687200","48.1097600,5.13460000"
Chaumont,Langres,Chaumont,Langres,21,"48.1097600,5.13460000","47.8769470,5.34440600"
Langres,Culmont,Langres,Culmont - Chalindrey,8,"47.8769470,5.34440600","47.8102020,5.44321900"
Culmont,Contrexéville,Culmont - Chalindrey,Contrexéville,44,"47.8102020,5.44321900","48.1796130,5.89063300"
Contrexéville,Vittel,Contrexéville,Vittel,5,"48.1796130,5.89063300","48.2021900,5.94191400"
Châlons-en-Champagne,Épernay,Châlons-en-Champagne,Épernay,16,"48.9552520,4.34865600","49.0462890,3.95979800"
Château-Thierry,La Ferté-sous-Jouarre,Château-Thierry,La Ferté-sous-Jouarre,15,"49.0381400,3.40930200","48.9507800,3.12546600"
La Ferté-sous-Jouarre,Paris,La Ferté-sous-Jouarre,Paris Est,40,"48.9507800,3.12546600","48.8767420,2.35842400"
Châlons-en-Champagne,Vitry-le-François,Châlons-en-Champagne,Vitry-le-François,16,"48.9552520,4.34865600","48.7179130,4.58751500"
Vitry-le-François,Saint-Dizier,Vitry-le-François,Saint-Dizier,19,"48.7179130,4.58751500","48.6422030,4.94806400"
Saint-Dizier,Vitry-le-François,Saint-Dizier,Vitry-le-François,19,"48.6422030,4.94806400","48.7179130,4.58751500"
Vitry-le-François,Châlons-en-Champagne,Vitry-le-François,Châlons-en-Champagne,16,"48.7179130,4.58751500","48.9552520,4.34865600"
Paris,La Ferté-sous-Jouarre,Paris Est,La Ferté-sous-Jouarre,37,"48.8767420,2.35842400","48.9507800,3.12546600"
La Ferté-sous-Jouarre,Château-Thierry,La Ferté-sous-Jouarre,Château-Thierry,15,"48.9507800,3.12546600","49.0381400,3.40930200"
Bar-le-Duc,Vitry-le-François,Bar-le-Duc,Vitry-le-François,23,"48.7735980,5.16705300","48.7179130,4.58751500"
Vitry-le-François,Bar-le-Duc,Vitry-le-François,Bar-le-Duc,25,"48.7179130,4.58751500","48.7735980,5.16705300"
Bar-le-Duc,Commercy,Bar-le-Duc,Commercy,20,"48.7735980,5.16705300","48.7656570,5.58836400"
Commercy,Toul,Commercy,Toul,15,"48.7656570,5.58836400","48.6788820,5.88061200"
Toul,Nancy,Toul,Nancy,21,"48.6788820,5.88061200","48.6898570,6.17457900"
Nancy,Lunéville,Nancy,Lunéville,18,"48.6898570,6.17457900","48.5879900,6.49699700"
Lunéville,Sarrebourg,Lunéville,Sarrebourg,22,"48.5879900,6.49699700","48.7380800,7.05285000"
Sarrebourg,Saverne,Sarrebourg,Saverne,16,"48.7380800,7.05285000","48.7444830,7.36205500"
Saverne,Strasbourg,Saverne,Strasbourg,29,"48.7444830,7.36205500","48.5851100,7.73388200"
Strasbourg,Saverne,Strasbourg,Saverne,22,"48.5851100,7.73388200","48.7444830,7.36205500"
Saverne,Sarrebourg,Saverne,Sarrebourg,16,"48.7444830,7.36205500","48.7380800,7.05285000"
Sarrebourg,Lunéville,Sarrebourg,Lunéville,27,"48.7380800,7.05285000","48.5879900,6.49699700"
Lunéville,Nancy,Lunéville,Nancy,19,"48.5879900,6.49699700","48.6898570,6.17457900"
Nancy,Toul,Nancy,Toul,22,"48.6898570,6.17457900","48.6788820,5.88061200"
Toul,Commercy,Toul,Commercy,16,"48.6788820,5.88061200","48.7656570,5.58836400"
Commercy,Bar-le-Duc,Commercy,Bar-le-Duc,22,"48.7656570,5.58836400","48.7735980,5.16705300"
Nogent-sur-Seine,Longueville,Nogent-sur-Seine,Longueville,11,"48.4970820,3.49414600","48.5137030,3.24982200"
Longueville,Paris,Longueville,Paris Est,48,"48.5137030,3.24982200","48.8767420,2.35842400"
Paris,Longueville,Paris Est,Longueville,46,"48.8767420,2.35842400","48.5137030,3.24982200"
Longueville,Nogent-sur-Seine,Longueville,Nogent-sur-Seine,12,"48.5137030,3.24982200","48.4970820,3.49414600"
Belfort,Lure,Belfort-Ville,Lure,17,"47.6332780,6.85405300","47.6832740,6.49256300"
Lure,Vesoul,Lure,Vesoul,18,"47.6832740,6.49256300","47.6178100,6.15232100"
Vesoul,Culmont,Vesoul,Culmont - Chalindrey,37,"47.6178100,6.15232100","47.8102020,5.44321900"
Mulhouse,Altkirch,Mulhouse,Altkirch,9,"47.7426910,7.34316000","47.6268500,7.23944600"
Altkirch,Belfort,Altkirch,Belfort-Ville,16,"47.6268500,7.23944600","47.6332780,6.85405300"
Culmont,Vesoul,Culmont - Chalindrey,Vesoul,37,"47.8102020,5.44321900","47.6178100,6.15232100"
Vesoul,Lure,Vesoul,Lure,16,"47.6178100,6.15232100","47.6832740,6.49256300"
Lure,Belfort,Lure,Belfort-Ville,18,"47.6832740,6.49256300","47.6332780,6.85405300"
Belfort,Altkirch,Belfort-Ville,Altkirch,15,"47.6332780,6.85405300","47.6268500,7.23944600"
Altkirch,Mulhouse,Altkirch,Mulhouse,10,"47.6268500,7.23944600","47.7426910,7.34316000"
Culmont,Marcilly-sur-Tille,Culmont - Chalindrey,Is-sur-Tille,25,"47.8102020,5.44321900","47.5204540,5.12948100"
Marcilly-sur-Tille,Dijon,Is-sur-Tille,Dijon,20,"47.5204540,5.12948100","47.3234110,5.02725600"
Dijon,Dijon,Dijon,Dijon Porte Neuve,10,"47.3234110,5.02725600","47.3228000,5.05490500"
Dijon,Marcilly-sur-Tille,Dijon Porte Neuve,Is-sur-Tille,20,"47.3228000,5.05490500","47.5204540,5.12948100"
Marcilly-sur-Tille,Culmont,Is-sur-Tille,Culmont - Chalindrey,27,"47.5204540,5.12948100","47.8102020,5.44321900"
Paris,Persan,Paris Gare du Nord,Persan - Beaumont,36,"48.8801360,2.35485100","49.1479500,2.27914000"
Persan,Chambly,Persan - Beaumont,Chambly,4,"49.1479500,2.27914000","49.1636920,2.24060700"
Chambly,Bornel,Chambly,Bornel - Belle-Église,4,"49.1636920,2.24060700","49.1946210,2.20724100"
Bornel,Esches,Bornel - Belle-Église,Esches,3,"49.1946210,2.20724100","49.2132450,2.17036800"
Esches,Méru,Esches,Méru,4,"49.2132450,2.17036800","49.2322290,2.13191900"
Méru,Laboissière-en-Thelle,Méru,Laboissière - Le Déluge,5,"49.2322290,2.13191900","49.2886700,2.13619700"
Laboissière-en-Thelle,Saint-Sulpice,Laboissière - Le Déluge,Saint-Sulpice - Auteuil,6,"49.2886700,2.13619700","49.3467350,2.11732000"
Saint-Sulpice,Beauvais,Saint-Sulpice - Auteuil,Beauvais,10,"49.3467350,2.11732000","49.4266720,2.08743200"
Beauvais,Saint-Sulpice,Beauvais,Saint-Sulpice - Auteuil,9,"49.4266720,2.08743200","49.3467350,2.11732000"
Saint-Sulpice,Méru,Saint-Sulpice - Auteuil,Méru,11,"49.3467350,2.11732000","49.2322290,2.13191900"
Méru,Bornel,Méru,Bornel - Belle-Église,6,"49.2322290,2.13191900","49.1946210,2.20724100"
Bornel,Chambly,Bornel - Belle-Église,Chambly,4,"49.1946210,2.20724100","49.1636920,2.24060700"
Chambly,Paris,Chambly,Paris Gare du Nord,36,"49.1636920,2.24060700","48.8801360,2.35485100"
Saint-Sulpice,Laboissière-en-Thelle,Saint-Sulpice - Auteuil,Laboissière - Le Déluge,7,"49.3467350,2.11732000","49.2886700,2.13619700"
Laboissière-en-Thelle,Méru,Laboissière - Le Déluge,Méru,6,"49.2886700,2.13619700","49.2322290,2.13191900"
Méru,Esches,Méru,Esches,5,"49.2322290,2.13191900","49.2132450,2.17036800"
Esches,Bornel,Esches,Bornel - Belle-Église,4,"49.2132450,2.17036800","49.1946210,2.20724100"
Chambly,Persan,Chambly,Persan - Beaumont,5,"49.1636920,2.24060700","49.1479500,2.27914000"
Persan,Paris,Persan - Beaumont,Paris Gare du Nord,29,"49.1479500,2.27914000","48.8801360,2.35485100"
Paris,Chambly,Paris Gare du Nord,Chambly,35,"48.8801360,2.35485100","49.1636920,2.24060700"
Bornel,Méru,Bornel - Belle-Église,Méru,7,"49.1946210,2.20724100","49.2322290,2.13191900"
Méru,Saint-Sulpice,Méru,Saint-Sulpice - Auteuil,10,"49.2322290,2.13191900","49.3467350,2.11732000"
Paris,Orry-la-Ville,Paris Gare du Nord,Orry-la-Ville - Coye,19,"48.8801360,2.35485100","49.1389300,2.48999700"
Orry-la-Ville,Chantilly,Orry-la-Ville - Coye,Chantilly - Gouvieux,4,"49.1389300,2.48999700","49.1872190,2.45977100"
Chantilly,Creil,Chantilly - Gouvieux,Creil,7,"49.1872190,2.45977100","49.2646160,2.47081900"
Creil,Chantilly,Creil,Chantilly - Gouvieux,7,"49.2646160,2.47081900","49.1872190,2.45977100"
Chantilly,Orry-la-Ville,Chantilly - Gouvieux,Orry-la-Ville - Coye,4,"49.1872190,2.45977100","49.1389300,2.48999700"
Orry-la-Ville,Paris,Orry-la-Ville - Coye,Paris Gare du Nord,20,"49.1389300,2.48999700","48.8801360,2.35485100"
Pont-Sainte-Maxence,Rieux,Pont-Sainte-Maxence,Rieux - Angicourt,6,"49.3097360,2.60289300","49.2985810,2.52118500"
Rieux,Creil,Rieux - Angicourt,Creil,6,"49.2985810,2.52118500","49.2646160,2.47081900"
Creil,Villers-Saint-Paul,Creil,Villers-Saint-Paul,3,"49.2646160,2.47081900","49.2823960,2.48945500"
Villers-Saint-Paul,Rieux,Villers-Saint-Paul,Rieux - Angicourt,3,"49.2823960,2.48945500","49.2985810,2.52118500"
Rieux,Pont-Sainte-Maxence,Rieux - Angicourt,Pont-Sainte-Maxence,4,"49.2985810,2.52118500","49.3097360,2.60289300"
Rieux,Villers-Saint-Paul,Rieux - Angicourt,Villers-Saint-Paul,3,"49.2985810,2.52118500","49.2823960,2.48945500"
Villers-Saint-Paul,Creil,Villers-Saint-Paul,Creil,4,"49.2823960,2.48945500","49.2646160,2.47081900"
Compiègne,Jaux,Compiègne,Jaux,5,"49.4219420,2.82364800","49.3864480,2.77729900"
Jaux,Le Meux,Jaux,Le Meux - La Croix-Saint-Ouen,3,"49.3864480,2.77729900","49.3594900,2.75348300"
Le Meux,Longueil-Sainte-Marie,Le Meux - La Croix-Saint-Ouen,Longueil-Sainte-Marie,3,"49.3594900,2.75348300","49.3424070,2.71763600"
Longueil-Sainte-Marie,Chevrières,Longueil-Sainte-Marie,Chevrières,3,"49.3424070,2.71763600","49.3373140,2.68301500"
Chevrières,Pont-Sainte-Maxence,Chevrières,Pont-Sainte-Maxence,4,"49.3373140,2.68301500","49.3097360,2.60289300"
Compiègne,Le Meux,Compiègne,Le Meux - La Croix-Saint-Ouen,6,"49.4219420,2.82364800","49.3594900,2.75348300"
Creil,Rieux,Creil,Rieux - Angicourt,4,"49.2646160,2.47081900","49.2985810,2.52118500"
Pont-Sainte-Maxence,Longueil-Sainte-Marie,Pont-Sainte-Maxence,Longueil-Sainte-Marie,7,"49.3097360,2.60289300","49.3424070,2.71763600"
